agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
False,2026-01-12T00:00:00.000Z,2.0,1,,2008-09-12T00:00:00.000Z,True,,,,V16,False,4.0,,,2.0,False,60.0,1,1965-01-01T00:00:00.000Z,2007-07-24T00:00:00.000Z,70875.58,9222.05,0.0,False,1,False,142000,10000,2008,True,71876.0,1,70875.58,128842.0,4,N,10223.0,1,9222.05,0.0,0.0,,668.0,,0.0,False,Hurricane Ike,30000.0,0.0,485470,,,,,1,155231.0,0.0,A,False,14.0,,,False,TX,Currently Unavailable,77650,48167,48167723900,481677239003,29.4,-94.8,4ae4e90e-d6e5-44c3-8b77-09aea5408e13
False,2026-01-12T00:00:00.000Z,,1,,2017-08-27T00:00:00.000Z,False,1,,,X,False,3.0,,,1.0,False,,1,1982-01-01T00:00:00.000Z,2014-03-21T00:00:00.000Z,5000.0,0.0,0.0,False,7,False,125000,50000,2017,False,6000.0,F,5000.0,100000.0,4,N,,F,0.0,,0.0,,682.0,,0.0,False,Hurricane Harvey,30000.0,0.0,481485,481485,FORT BEND COUNTY L.I.D. #2,99,,1,100000.0,,A,False,1.0,X,1.0,True,TX,Currently Unavailable,77478,48157,48157671601,481576716014,29.6,-95.6,1d64a17f-e908-4016-9936-c6ff3b115867
False,2026-01-12T00:00:00.000Z,,1,,1981-06-15T00:00:00.000Z,False,,,,,False,,,,2.0,False,10.0,1,1492-10-12T00:00:00.000Z,1980-06-24T00:00:00.000Z,370.0,0.0,0.0,False,1,False,27000,0,1981,False,570.0,,370.0,60000.0,1,N,,,0.0,,0.0,,54.0,,0.0,False,Flooding,,0.0,200019,,,,,1,0.0,,A,False,1.0,,,False,KS,Currently Unavailable,67530,20009,20009971700,200099717003,38.4,-98.8,d68d4338-61e8-4dc9-9c2b-490e4a7ee238
False,2026-01-12T00:00:00.000Z,,1,,2008-09-13T00:00:00.000Z,False,,,,X,False,3.0,,,1.0,False,,2,1973-01-01T00:00:00.000Z,2006-05-11T00:00:00.000Z,4875.0,0.0,0.0,False,7,False,75000,30000,2008,False,5375.0,1,4875.0,67232.0,2,N,,1,0.0,,0.0,,668.0,,0.0,False,Hurricane Ike,30000.0,0.0,480287,,,20,,1,84041.0,,A,False,6.0,,1.0,False,TX,Currently Unavailable,77037,48201,48201222401,482012224012,29.9,-95.4,75dcdbbf-e3f4-4ea7-a8e5-42fcdc96aeb7
False,2026-01-12T00:00:00.000Z,,1,,1982-09-14T00:00:00.000Z,False,1,,,A,False,2.0,,,2.0,False,10.0,4,1942-07-01T00:00:00.000Z,1982-08-01T00:00:00.000Z,,,,False,3,False,0,22100,1982,False,,,0.0,,1,N,,0,0.0,,0.0,,,,0.0,False,,,0.0,510177,,,01,,1,,,,False,0.0,,,False,VA,Currently Unavailable,24279,51195,51195930700,511959307001,37.1,-82.6,56e33b1a-d6ac-4988-8c96-74466abaa53d
False,2026-01-12T00:00:00.000Z,,1,,1983-08-18T00:00:00.000Z,False,,,,V12,False,4.0,,,2.0,False,10.0,1,1492-10-12T00:00:00.000Z,1983-06-14T00:00:00.000Z,4775.2,1650.0,0.0,False,1,False,35000,14000,1983,False,5276.0,0,4775.2,50000.0,4,N,2150.0,0,1650.0,20000.0,0.0,,501.0,,0.0,False,Hurricane Alicia,,0.0,481266,,,,,1,0.0,0.0,A,False,1.0,,,False,TX,Currently Unavailable,77541,48039,48039664300,480396643002,29.0,-95.4,ce5309e7-2ad1-4bb8-b271-ef423457b86e
False,2026-01-12T00:00:00.000Z,,1,7.0,2012-10-30T00:00:00.000Z,False,,,,C,False,4.0,,,2.0,False,,1,1992-01-01T00:00:00.000Z,1995-11-30T00:00:00.000Z,34933.11,19206.88,0.0,True,R,False,250000,100000,2012,True,30337.0,F,34933.11,233596.0,1,N,20207.0,F,19206.88,0.0,0.0,,305.0,,0.0,False,Hurricane Sandy,30000.0,0.0,340303,340303,"KEANSBURG, BOROUGH OF",,,1,291995.0,0.0,R,False,7.0,AE,,False,NJ,Currently Unavailable,07734,34025,34025801700,340258017003,40.4,-74.1,33e7e663-c06d-4aa0-9c32-faec151e64cf
False,2026-01-12T00:00:00.000Z,,1,,2008-09-13T00:00:00.000Z,True,,6.0,12.0,A14,False,4.0,7.3,17.7,2.0,False,10.0,1,1995-01-01T00:00:00.000Z,1997-10-22T00:00:00.000Z,2429.25,255.0,0.0,True,1,False,194800,92600,2008,True,2930.0,F,2429.25,171492.0,1,N,755.0,F,255.0,0.0,0.0,,668.0,,0.0,False,Hurricane Ike,30000.0,0.0,485486,485486,"LA MARQUE, CITY OF",,,1,194877.0,0.0,R,False,,A14,1.0,False,TX,Currently Unavailable,77568,48167,48167723800,481677238001,29.3,-94.9,eac519b6-193a-4ed0-b59f-19d2655d12f1
False,2026-01-12T00:00:00.000Z,,1,,2019-02-07T00:00:00.000Z,True,2,,,AE,False,6.0,,,5.0,False,10.0,1,1965-01-02T00:00:00.000Z,2018-08-09T00:00:00.000Z,,,,False,1,False,30000,50000,2019,True,1523.0,5,0.0,40674.0,2,N,,5,0.0,,0.0,,,,0.0,False,,30000.0,0.0,060714,060714,"CLEARLAKE, CITY OF",20,01,1,59815.0,,A,False,0.0,AE,1.0,False,CA,Currently Unavailable,95422,06033,06033000801,060330008012,38.9,-122.6,b28bd8e4-abe5-4ecc-a62f-3df197a99af4
False,2026-01-12T00:00:00.000Z,2.0,1,,1996-01-19T00:00:00.000Z,False,2,,,AE,False,,,,2.0,False,10.0,1,1973-07-01T00:00:00.000Z,1995-08-29T00:00:00.000Z,515.72,0.0,0.0,False,1,False,71300,0,1996,False,1265.0,9,515.72,104000.0,4,N,,0,0.0,,0.0,,588.0,,0.0,False,Flooding,,0.0,420911,,,,,1,0.0,,A,False,0.0,,,False,PA,Currently Unavailable,18615,42131,42131400500,421314005001,41.5,-75.9,f96a4585-5248-488d-b748-6b8247560112
