agricultureStructureIndicator,baseFloodElevation,basementEnclosureCrawlspaceType,cancellationDateOfFloodPolicy,condominiumCoverageTypeCode,construction,crsClassCode,buildingDeductibleCode,contentsDeductibleCode,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,federalPolicyFee,ratedFloodZone,hfiaaSurcharge,houseOfWorshipIndicator,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,nonProfitIndicator,numberOfFloorsInInsuredBuilding,obstructionType,occupancyType,originalConstructionDate,originalNBDate,policyCost,policyCount,policyEffectiveDate,policyTerminationDate,policyTermIndicator,postFIRMConstructionIndicator,primaryResidenceIndicator,rateMethod,regularEmergencyProgramIndicator,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,totalInsurancePremiumOfThePolicy,cancellationVoidanceReasonCode,subsidizedRateType,iccPremium,reserveFundAssessment,communityProbationSurcharge,premiumPaymentIndicator,buildingReplacementCost,basicBuildingRate,additionalBuildingRate,basicContentsRate,AdditionalContentsRate,enclosureTypeCode,buildingDescriptionCode,insuranceToValueCode,postFirmVzoneIndicator,floodproofedIndicator,waitingPeriodType,rolloverTransferCode,endorsementEffectiveDate,propertyPurchaseDate,rentalPropertyIndicator,tenantIndicator,stateOwnedIndicator,disasterAssistanceCoverageRequiredCode,mandatoryPurchaseFlag,grandfatheringTypeCode,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,programTypeIndicator,mapPanelNumber,mapPanelSuffix,floodZoneCurrent,femaRegion,propertyState,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
False,,,,N,False,,1,,False,,,47,A,250,False,,,,False,1,,11,2000-06-01T00:00:00.000Z,2023-01-10T00:00:00.000Z,681,1,2025-01-10T00:00:00.000Z,2026-01-10T00:00:00.000Z,1,False,False,RatingEngine,R,False,81000,0,325,,,6.0,59,,2,,,,,,,,,False,False,N,Z,2025-01-10T00:00:00.000Z,,False,False,False,,False,,130008,130008,"NASHVILLE, CITY OF",False,,,,4.0,GA,Currently Unavailable,31639,13019,13019970500,130199705001,31.2,-83.2,e4e54c90-b134-433d-99c3-79e109f43f3d
False,,,,N,False,5.0,A,,False,,,47,AH,25,False,,9.8,10.5,False,1,,11,1977-01-01T00:00:00.000Z,2022-06-17T00:00:00.000Z,668,1,2025-06-17T00:00:00.000Z,2026-06-17T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,0,505,,,13.0,91,,1,,,,,,,,,False,False,N,N,,,False,False,False,,False,,120635,120635,MIAMI-DADE COUNTY*,False,,,,4.0,FL,Currently Unavailable,33175,12086,12086016000,120860160003,25.7,-80.4,aaedae94-6def-4c7f-9a1c-468721d16ebc
False,,,,N,False,6.0,A,,False,,,47,AE,25,False,,0.0,0.0,False,3,,11,2021-12-01T00:00:00.000Z,2022-03-18T00:00:00.000Z,1211,1,2025-06-11T00:00:00.000Z,2026-06-11T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,0,965,,,24.0,174,,1,,,,,,,,,False,False,N,N,,,False,False,False,,False,,340313,340313,"MIDDLETOWN, TOWNSHIP OF",False,,,,2.0,NJ,Currently Unavailable,07758,34025,34025800601,340258006012,40.4,-74.1,129f4be5-d6ea-4154-8658-bda6a210010b
False,,,,N,False,8.0,A,A,False,,,47,AE,25,False,,,,False,1,,11,1960-01-01T00:00:00.000Z,2022-05-27T00:00:00.000Z,460,1,2025-05-27T00:00:00.000Z,2026-05-27T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,329,,,7.0,59,,1,,,,,,,,,False,False,,N,,,False,False,False,,False,,450129,450129,LEXINGTON COUNTY *,False,,,,4.0,SC,Currently Unavailable,29054,45063,45063021303,450630213032,34.0,-81.4,5fa7b672-01f5-46db-b9a6-8123a9c90054
False,,,,N,False,,5,5,False,,,47,AE,25,False,,,,False,2,,11,1950-01-01T00:00:00.000Z,2019-10-08T00:00:00.000Z,625,1,2025-10-08T00:00:00.000Z,2026-10-08T00:00:00.000Z,1,False,True,RatingEngine,R,False,114000,20000,469,,,9.0,84,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,485511,485511,"SINTON, CITY OF",False,,,,6.0,TX,Currently Unavailable,78387,48409,48409011000,484090110004,28.0,-97.5,919b9751-1616-49f6-9006-98203c82fef9
False,,,,N,False,5.0,,1,False,,,47,X,250,False,,,,False,1,,18,1955-07-01T00:00:00.000Z,2022-07-10T00:00:00.000Z,1379,1,2025-07-10T00:00:00.000Z,2026-07-10T00:00:00.000Z,1,False,False,RatingEngine,R,True,0,500000,917,,,,165,,2,,,,,,,,,False,False,N,N,,,False,False,False,,False,,120635,120635,MIAMI-DADE COUNTY*,False,,,,4.0,FL,Currently Unavailable,33150,12086,12086001004,120860010042,25.8,-80.2,716ebbf3-1441-4c3f-be92-bb0e250bd2ae
False,,,,N,False,,F,1,False,,,47,X,25,False,,,,False,2,,11,1988-01-01T00:00:00.000Z,2022-07-04T00:00:00.000Z,824,1,2025-07-04T00:00:00.000Z,2026-07-04T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,637,,,12.0,115,,1,,,,,,,,,False,False,S,R,,,False,False,False,,False,,481486,481486,PECAN GROVE M.U.D.,False,,,,6.0,TX,Currently Unavailable,77406,48157,48157673502,481576735023,29.6,-95.7,04cecd78-8218-4fcc-bed5-e1f4a876ed09
False,,0.0,,N,False,,1,1,False,,,47,D,250,False,3.0,,,False,1,,11,1988-05-15T00:00:00.000Z,2021-07-02T00:00:00.000Z,1030,1,2025-07-02T00:00:00.000Z,2026-07-02T00:00:00.000Z,1,True,False,RatingEngine,R,False,36000,8000,621,,,12.0,112,,1,165000.0,,,,,N,,,False,False,,Z,,,True,False,False,0.0,False,1.0,060752,060752,"APPLE VALLEY, TOWN OF",False,6505,J,D,9.0,CA,Currently Unavailable,92308,06071,06071009720,060710097201,34.5,-117.2,f34dd258-d23a-449d-b94a-268544745465
False,,,,N,False,7.0,F,1,False,,,47,X,25,False,,,,False,1,,11,2020-10-12T00:00:00.000Z,2022-11-22T00:00:00.000Z,505,1,2025-11-22T00:00:00.000Z,2026-11-22T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,367,,,8.0,66,,1,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,220058,220058,EAST BATON ROUGE PARISH,False,,,,6.0,LA,Currently Unavailable,70816,22033,22033003909,220330039094,30.4,-91.1,4fae5cd3-ca30-4109-9438-210530a223f4
False,,,,N,False,7.0,5,,False,,,47,AE,25,False,,,,False,1,,11,1968-01-01T00:00:00.000Z,2022-09-02T00:00:00.000Z,1151,1,2025-09-02T00:00:00.000Z,2026-09-02T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,0,914,,,20.0,165,,2,,,,,,,,,False,False,N,N,2025-11-22T00:00:00.000Z,,False,False,False,,False,,515531,515531,"VIRGINIA BEACH, CITY OF",False,,,,3.0,VA,Currently Unavailable,23452,51810,51810042801,518100428013,36.8,-76.1,f078c3b9-9a55-40bf-89a2-6f1744e8fd08
False,,,,N,False,6.0,D,,False,,,47,AE,250,False,,,,False,2,,13,1972-01-01T00:00:00.000Z,2021-12-08T00:00:00.000Z,5152,1,2025-12-08T00:00:00.000Z,2026-12-08T00:00:00.000Z,1,False,False,RatingEngine,R,False,500000,0,4114,,,75.0,741,,1,,,,,,,,,False,False,S,Z,2025-12-08T00:00:00.000Z,,True,False,False,,False,,080024,080024,"BOULDER, CITY OF",False,,,,8.0,CO,Currently Unavailable,80302,08013,08013012206,080130122061,40.0,-105.3,073f61af-125f-4d21-bc15-0024e0214194
False,,,,N,False,8.0,2,1,False,,,47,X,25,False,,,,False,1,,11,1965-06-01T00:00:00.000Z,2022-12-14T00:00:00.000Z,479,1,2025-12-14T00:00:00.000Z,2026-12-14T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,345,,,7.0,62,,1,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,385367,385367,"MINOT, CITY OF",False,,,,8.0,ND,Currently Unavailable,58701,38101,38101010200,381010102004,48.2,-101.3,cd156edc-12bd-4019-a2c2-c579182d7346
False,,,,N,False,7.0,F,,False,,,47,X,250,False,,,,False,2,,11,1971-06-01T00:00:00.000Z,2021-11-04T00:00:00.000Z,588,1,2025-11-04T00:00:00.000Z,2026-11-04T00:00:00.000Z,1,False,False,RatingEngine,R,False,250000,0,247,,,5.0,44,,2,,,,,,,,,False,False,N,N,,,True,False,False,,False,,260213,260213,"ANN ARBOR, CITY OF",False,,,,5.0,MI,Currently Unavailable,48104,26161,26161405200,261614052003,42.3,-83.7,35b14d8d-3c59-45ef-9c56-8c2a9cf7f522
False,,,,N,False,,E,E,False,,,47,AE,250,False,,,,False,2,,18,1955-01-01T00:00:00.000Z,2015-10-25T00:00:00.000Z,4199,1,2025-01-13T00:00:00.000Z,2026-01-13T00:00:00.000Z,1,False,False,RatingEngine,R,False,500000,500000,3307,,,62.0,595,,1,,,,,,,,,False,False,N,Z,2025-01-13T00:00:00.000Z,,False,False,False,,False,,275248,275248,"ST. PAUL, CITY OF",False,,,,5.0,MN,Currently Unavailable,55106,27123,27123980000,271239800001,44.9,-93.0,f1c36aa3-fe6b-40b6-ace4-10a597065e89
False,,,,N,False,,A,,False,,,47,AH,25,False,,,,False,1,,11,1971-01-01T00:00:00.000Z,2022-08-05T00:00:00.000Z,856,1,2025-08-05T00:00:00.000Z,2026-08-05T00:00:00.000Z,1,False,True,RatingEngine,R,False,134000,0,664,,,12.0,120,,1,,,,,,,,,False,False,N,N,2025-08-05T00:00:00.000Z,,False,False,False,,False,,170451,170451,"WOOD RIVER, CITY OF",False,,,,5.0,IL,Currently Unavailable,62095,17119,17119401102,171194011021,38.9,-90.1,3f835333-02a6-4f7f-905a-f1d638f45c0f
False,,,,N,False,,2,2,False,,,47,A,25,False,,,,False,1,,11,2004-01-01T00:00:00.000Z,2022-06-13T00:00:00.000Z,1258,1,2025-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,1005,,,20.0,181,,2,,,,,,,,,False,False,,N,,,False,False,False,,False,,480345,480345,"MISSION, CITY OF",False,,,,6.0,TX,Currently Unavailable,78572,48215,48215020406,482150204062,26.2,-98.3,dcd948a1-5fac-4795-9089-5aeac9c44f7e
False,,,,N,False,6.0,2,1,False,,,47,AE,25,False,,,,False,1,,11,1956-01-01T00:00:00.000Z,2022-10-08T00:00:00.000Z,1054,1,2025-10-08T00:00:00.000Z,2026-10-08T00:00:00.000Z,1,False,True,RatingEngine,R,False,193000,15000,832,,,20.0,150,,2,,,,,,,,,False,False,N,N,,,False,False,False,,False,,370048,370048,"MOREHEAD CITY, TOWN OF",False,,,,4.0,NC,Currently Unavailable,28557,37031,37031970503,370319705031,34.7,-76.7,68506324-a959-4070-89b4-af39b5c821b5
False,,,,N,False,,1,,False,,,47,AE,250,False,,,,False,5,,14,2020-06-01T00:00:00.000Z,2022-10-12T00:00:00.000Z,1371,1,2025-10-12T00:00:00.000Z,2026-10-12T00:00:00.000Z,1,False,False,RatingEngine,R,False,37000,0,910,,,17.0,164,,2,,,,,,,,,False,False,,N,,,True,False,False,,False,,485463,485463,COMAL COUNTY*,False,,,,6.0,TX,Currently Unavailable,78133,48091,48091310612,480913106121,29.9,-98.2,529f4f9f-6ace-462c-8935-d231a97e8f2b
False,,,,N,False,6.0,F,1,False,,,47,X,25,False,,,,False,1,,11,2013-01-01T00:00:00.000Z,2021-11-06T00:00:00.000Z,435,1,2025-11-06T00:00:00.000Z,2026-11-06T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,308,,,6.0,55,,1,,,,,,,,,False,False,,Z,,,False,False,False,,False,,120274,120274,SANTA ROSA COUNTY *,False,,,,4.0,FL,Currently Unavailable,32571,12113,12113010302,121130103021,30.7,-87.2,33f1283f-0a1c-4b25-b543-11d59ff6d149
False,,,,N,False,7.0,F,1,False,,,47,X,25,False,,,,False,2,,11,2022-01-01T00:00:00.000Z,2022-09-24T00:00:00.000Z,821,1,2025-09-24T00:00:00.000Z,2026-09-24T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,635,,,13.0,114,,1,,,,,,,,,False,False,S,N,,,False,False,False,,False,,370530,370530,"ST JAMES, TOWN OF",False,,,,4.0,NC,Currently Unavailable,28461,37019,37019020304,370190203043,34.0,-78.1,acc6d3f3-dc95-4079-9fc5-2ffec9cdd0f4
False,,,,N,False,7.0,F,1,False,,,47,VE,250,False,,11.6,23.0,False,2,,11,2021-01-01T00:00:00.000Z,2021-07-23T00:00:00.000Z,1031,1,2025-07-23T00:00:00.000Z,2026-07-23T00:00:00.000Z,1,False,False,RatingEngine,R,False,250000,100000,622,,,13.0,112,,2,,,,,,,,,False,False,S,R,,,True,False,False,,False,,515531,515531,"VIRGINIA BEACH, CITY OF",False,,,,3.0,VA,Currently Unavailable,23456,51810,51810045412,518100454121,36.7,-75.9,96d5eaf9-b293-4c39-95db-006d16985ba4
False,,,,N,False,,,2,False,,,47,X,250,False,,,,False,1,,18,1974-01-01T00:00:00.000Z,2022-08-27T00:00:00.000Z,666,1,2025-08-27T00:00:00.000Z,2026-08-27T00:00:00.000Z,1,False,False,RatingEngine,R,True,0,100000,313,,,,56,,1,,,,,,,,,False,False,S,N,,,True,True,False,,False,,170088,170088,"ELK GROVE VILLAGE, VILLAGE OF",False,,,,5.0,IL,Currently Unavailable,60007,17031,17031770300,170317703003,42.0,-88.0,834d5b47-ab5f-4eb7-89a8-59f141c069e1
False,,,,N,False,6.0,2,2,False,,,47,AE,25,False,,7.9,8.7,False,1,,11,1970-01-01T00:00:00.000Z,2023-01-29T00:00:00.000Z,1422,1,2025-01-29T00:00:00.000Z,2026-01-29T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,18000,1144,,,27.0,206,,1,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,130030,130030,CHATHAM COUNTY*,False,,,,4.0,GA,Currently Unavailable,31410,13051,13051011108,130510111081,32.0,-81.0,f9579e09-7ec2-4d05-8e00-81477dc42921
False,,,,N,False,6.0,2,2,False,,,47,AE,25,False,,,,False,1,,11,1953-06-01T00:00:00.000Z,2022-07-18T00:00:00.000Z,1046,1,2025-07-18T00:00:00.000Z,2026-07-18T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,825,,,19.0,149,,1,,,,,,,,,False,False,,N,,,False,False,False,,False,,130093,130093,"BRUNSWICK,CITY OF",False,,,,4.0,GA,Currently Unavailable,31520,13127,13127000900,131270009004,31.1,-81.5,e9eab538-4076-4737-814b-4b821e92ad50
False,,,,N,False,7.0,5,,False,,,47,AE,25,False,,,,False,2,,11,1978-11-21T00:00:00.000Z,2022-12-12T00:00:00.000Z,690,1,2025-12-12T00:00:00.000Z,2026-12-12T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,0,524,,,10.0,94,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,420757,420757,"PHILADELPHIA, CITY OF",False,,,,3.0,PA,Currently Unavailable,19153,42101,42101005400,421010054001,39.9,-75.2,30266f23-7dc1-4b3c-b278-f2d0ec78af74
False,,,,N,False,6.0,5,,False,,,47,AE,250,False,,11.7,12.2,False,1,,11,1954-07-01T00:00:00.000Z,2022-09-05T00:00:00.000Z,796,1,2025-09-05T00:00:00.000Z,2026-09-05T00:00:00.000Z,1,False,False,RatingEngine,R,False,250000,0,423,,,9.0,76,,2,,,,,,,,,False,False,N,N,,,True,False,False,,False,,120192,120192,PALM BEACH COUNTY *,False,,,,4.0,FL,Currently Unavailable,33406,12099,12099004300,120990043001,26.7,-80.1,5180bf12-e67c-4b56-96dd-8134704e26c0
False,,,,N,False,6.0,F,1,False,,,47,AE,25,False,,8.5,14.5,False,2,,11,2002-01-01T00:00:00.000Z,2022-07-15T00:00:00.000Z,1450,1,2025-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,1168,,,28.0,210,,1,,,,,,,,,False,False,N,N,,,False,False,False,,False,,455417,455417,"MOUNT PLEASANT, TOWN OF",False,,,,4.0,SC,Currently Unavailable,29464,45019,45019004620,450190046201,32.8,-79.8,4ae03bf9-7f49-4de2-829f-b741ea40a710
